SAMPLE,AMP,CENTROID,DURATION
73,-77.998333,5166.802974,140.861678
74,-57.4578,5807.516261,136.643991
75,-90.228281,3229.052996,21.489583
76,-85.075599,6902.746937,93.854875
77,-61.372754,2011.023111,15.729167
78,-73.954363,5954.923262,81.06576
79,-61.332051,3523.731426,15.864583
80,-74.577332,10049.49069,12.802083
81,-58.476719,1091.437136,20.885417
82,-65.382662,6312.944862,89.727891
83,-44.935471,3895.931721,20.0625
84,-61.523955,2051.799995,10.104167
85,-73.603684,6451.506185,82.585034
86,-60.263889,5984.980561,10.229167
87,-81.256003,3239.459253,73.968254
88,-59.314898,824.821104,20.916667
89,-63.386893,1206.556282,25.25
90,-72.379323,6597.129689,83.650794
91,-67.991263,6141.231194,88.594104
92,-88.648192,6926.652936,69.750567
93,-64.179894,9189.508759,10.395833
94,-62.417886,1169.685705,25.635417
95,-65.092985,6557.828637,57.641723
96,-57.626358,7187.323572,10.302083
97,-77.838128,4136.832911,13.229167
98,-87.634258,5454.86936,70.113379
99,-60.48477,1804.670105,10.416667
100,-63.662229,2261.028348,10.302083
101,-58.791935,3441.367333,63.718821
102,-66.746327,5868.278113,50.725624
103,-60.522681,5773.35525,20.770833
104,-53.759889,4028.120008,67.800454
105,-66.776987,4355.122308,25.604167
106,-56.696667,4498.866333,63.673469
107,-64.377277,5012.303984,73.854875
108,-64.752847,3209.384566,61.768707
109,-65.160957,5018.339663,54.036281
110,-58.248441,3830.245569,57.460317
111,-114.993619,9194.9258,10.739583
112,-60.607779,4813.294774,24.21875
113,-57.037963,3606.94824,10.53125
114,-90.683661,10980.57819,11.28125
115,-72.450922,4544.318983,22.520833
116,-65.712144,4394.352417,10.583333
117,-66.737369,1422.188108,25.239583
118,-55.593279,4872.494382,59.342404
119,-67.504298,1047.158428,24.5
120,-72.453822,4113.23295,71.655329
121,-70.841748,4255.503267,72.131519
122,-67.281562,4309.595546,116.9161
123,-47.117608,5305.03959,110.113379
124,-50.206072,5636.14885,42.199546
125,-55.38143,5183.288172,82.244898
126,-55.513491,4671.202533,15.635417
127,-63.688085,4407.509684,78.185941
128,-63.558944,4296.074815,59.387755
129,-57.517545,3794.357374,65.260771
130,-85.569717,4173.709802,18.004535
131,-69.998753,3532.105848,41.950113
132,-41.013579,5402.903202,31.385417
133,-64.050832,3655.694871,56.780045
134,-49.865351,5311.551977,92.222222
135,-68.233257,5663.984065,97.959184
